일련번호,층,전용면적,거래일,거래금액,거래유형,해제사유발생일,해제여부,등기일자,아파트,건축년도,자치구,행정동,주소,위도,경도,거래단위,직전거래일,직전거래금액,차액,변화율,변화
11230-17,1,67,2021-01-05,76000,,,,,신답극동,1987,동대문구,답십리1동,서울시 동대문구 답십리동 464-1,37.5726924675573,127.044123220013,11230-17_67,2021-01-05,76000,0,0.0,유지
11710-139,5,40,2021-01-08,74500,,,,,보화2차,1988,송파구,거여2동,서울시 송파구 거여동 258-7,37.490283460038,127.148839183603,11710-139_40,2021-01-08,63000,11500,18.25,상승
11260-4076,3,37,2021-01-10,36500,,,,,레그노시티,2020,중랑구,상봉2동,서울시 중랑구 상봉동 89-10,37.5959382168159,127.089561468584,11260-4076_37,2021-01-09,36800,-300,-0.82,하락
11290-57,14,111,2021-01-13,95000,,,,,삼부컨비니언,1998,성북구,길음1동,서울시 성북구 길음동 1276,37.6027726439023,127.023775903506,11290-57_111,2021-01-06,84800,10200,12.03,상승
11170-114,3,77,2021-01-13,89400,,21.03.04,O,,한성1,1974,용산구,한남동,서울시 용산구 한남동 29-4,37.5345489584788,127.009080645372,11170-114_77,2021-01-13,89400,0,0.0,유지
11680-416,15,196,2021-01-14,539000,,,,,"현대2차(10,11,20,23,24,25동)",1976,강남구,압구정동,서울시 강남구 압구정동 369-1,37.5330267381014,127.027925536556,11680-416_196,2021-01-11,550000,-11000,-2.0,하락
11560-62,4,79,2021-01-15,103500,,,,,문래공원한신,1988,영등포구,문래동,서울시 영등포구 문래동3가 77-2,37.5175839837132,126.892997679027,11560-62_79,2021-01-09,103000,500,0.49,상승
11650-81,6,164,2021-01-15,200000,,21.04.22,O,,현대빌라트,1994,서초구,서초3동,서울시 서초구 서초동 1495-1,37.4854678779693,127.001895467137,11650-81_164,2021-01-15,200000,0,0.0,유지
11110-115,4,174,2021-01-15,175000,,,,,경희궁의아침2단지,2004,종로구,사직동,서울시 종로구 내수동 71,37.5739639296009,126.971284886893,11110-115_174,2021-01-15,175000,0,0.0,유지
11500-233,4,68,2021-01-16,56000,,,,,방화동동부센트레빌(875번지),2003,강서구,방화1동,서울시 강서구 방화동 875,37.574703238848,126.814976041476,11500-233_68,2021-01-16,56000,0,0.0,유지
11110-116,13,123,2021-01-17,180000,,21.04.19,O,,경희궁의아침3단지,2004,종로구,사직동,서울시 종로구 내수동 72,37.573660668544,126.972093823848,11110-116_123,2021-01-17,180000,0,0.0,유지
11200-3210,4,13,2021-01-18,20300,,,,,왕십리지음재,2020,성동구,왕십리2동,서울시 성동구 하왕십리동 966-19,37.5624013229515,127.032677656283,11200-3210_13,2021-01-18,20300,0,0.0,유지
11590-220,2,70,2021-01-18,50000,,,,,숭실골드,2001,동작구,상도1동,서울시 동작구 상도동 473,37.4963055236447,126.952376463075,11590-220_70,2021-01-12,39000,11000,28.21,상승
11230-2910,7,12,2021-01-18,10180,,,,,가우디캐슬,2019,동대문구,용신동,서울시 동대문구 용두동 104-34,37.5773115907416,127.033125902564,11230-2910_12,2021-01-18,10180,0,0.0,유지
11680-3626,2,74,2021-01-18,77500,,,,,강남한솔,2006,강남구,역삼1동,서울시 강남구 역삼동 794-19,37.4928087584557,127.03778470753,11680-3626_74,2021-01-18,77500,0,0.0,유지
11290-3876,10,59,2021-01-19,71000,,,,,보문하우스토리,2011,성북구,보문동,서울시 성북구 보문동4가 116,37.5841413862939,127.020967748216,11290-3876_59,2021-01-07,71500,-500,-0.7,하락
11710-7361,4,17,2021-01-20,14200,,,,,엘에이치송파도시형생활주택,2013,송파구,송파1동,서울시 송파구 송파동 12-2,37.5081074640252,127.106739516506,11710-7361_17,2021-01-20,14200,0,0.0,유지
11650-759,14,134,2021-01-20,200000,,,,,방배래미안타워,2005,서초구,방배3동,서울시 서초구 방배동 485-3,37.4750476984424,126.990469150051,11650-759_134,2021-01-09,194000,6000,3.09,상승
11230-2996,12,13,2021-01-21,22000,,,,,에스아이팰리스장안센텀,2020,동대문구,장안1동,서울시 동대문구 장안동 416-1,37.5623318745324,127.063241316176,11230-2996_13,2021-01-16,20500,1500,7.32,상승
11680-4050,6,80,2021-01-22,110000,,,,,강남서해그랑블,2012,강남구,역삼1동,서울시 강남구 역삼동 796-29,37.4930015908398,127.039117102179,11680-4050_80,2021-01-13,99000,11000,11.11,상승
11230-3001,7,14,2021-01-22,17350,,,,,엘림스퀘어3,2020,동대문구,답십리1동,서울시 동대문구 답십리동 268-3,37.5690993674061,127.056818410979,11230-3001_14,2021-01-22,14850,2500,16.84,상승
11680-399,4,150,2021-01-23,225000,,,,,롯데캐슬모닝,2003,강남구,도곡1동,서울시 강남구 도곡동 551-28,37.490246269916,127.036716441898,11680-399_150,2021-01-23,225000,0,0.0,유지
11680-4297,8,101,2021-01-23,183000,,21.02.17,O,,래미안포레,2014,강남구,세곡동,서울시 강남구 자곡동 687,37.4747811588395,127.110118808878,11680-4297_101,2021-01-23,183000,0,0.0,유지
11740-162,2,54,2021-01-28,77500,,,,,영풍마드레빌,2002,강동구,성내1동,서울시 강동구 성내동 593,37.527167533497,127.123145032549,11740-162_54,2021-01-02,75000,2500,3.33,상승
11290-54,5,114,2021-01-30,82000,,,,,정릉푸른마을동아,2003,성북구,정릉2동,서울시 성북구 정릉동 210,37.6075161605071,127.01440352853,11290-54_114,2021-01-16,78000,4000,5.13,상승
11470-315,6,84,2021-02-01,43500,,,,,당곡,2002,양천구,신월4동,서울시 양천구 신월동 547-9,37.5176563351209,126.839724153362,11470-315_84,2021-02-01,43500,0,0.0,유지
11170-149,7,84,2021-02-01,149000,,,,,쌍용스윗닷홈,2003,용산구,한강로동,서울시 용산구 한강로3가 89,37.5234518459185,126.963955317841,11170-149_84,2021-01-06,149000,0,0.0,유지
11470-121,5,72,2021-02-02,149000,,,,,목동신시가지12,1988,양천구,신정7동,서울시 양천구 신정동 326,37.5130367922481,126.86113248111,11470-121_72,2021-01-30,148500,500,0.34,상승
11215-90,4,76,2021-02-02,40000,,,,,욱현,2002,광진구,중곡4동,서울시 광진구 중곡동 90-18,37.555868998749,127.090536018636,11215-90_76,2021-01-15,41000,-1000,-2.44,하락
11140-1355,14,15,2021-02-02,20850,,,,,오렌지카운티을지로,2020,중구,광희동,서울시 중구 오장동 145-1,37.5652397406613,127.001405231149,11140-1355_15,2021-02-02,20450,400,1.96,상승
11170-114,-1,65,2021-02-03,76000,,,,,한성1,1974,용산구,한남동,서울시 용산구 한남동 29-4,37.5345489584788,127.009080645372,11170-114_65,2021-01-30,75500,500,0.66,상승
